relationship type,source entity ID,target entity ID
同种,449,450
同种,450,449
同种,480,481
同种,481,480
同种,480,482
同种,482,480
同种,481,482
同种,482,481
同种,474,475
同种,475,474
同种,474,476
同种,476,474
同种,474,477
同种,477,474
同种,475,476
同种,476,475
同种,475,477
同种,477,475
同种,476,477
同种,477,476
同种,470,471
同种,471,470
同种,310,311
同种,311,310
同种,224,225
同种,225,224
同种,559,560
同种,560,559
同种,550,551
同种,551,550
同种,550,552
同种,552,550
同种,550,553
同种,553,550
同种,550,554
同种,554,550
同种,550,555
同种,555,550
同种,550,556
同种,556,550
同种,550,557
同种,557,550
同种,551,552
同种,552,551
同种,551,553
同种,553,551
同种,551,554
同种,554,551
同种,551,555
同种,555,551
同种,551,556
同种,556,551
同种,551,557
同种,557,551
同种,552,553
同种,553,552
同种,552,554
同种,554,552
同种,552,555
同种,555,552
同种,552,556
同种,556,552
同种,552,557
同种,557,552
同种,553,554
同种,554,553
同种,553,555
同种,555,553
同种,553,556
同种,556,553
同种,553,557
同种,557,553
同种,554,555
同种,555,554
同种,554,556
同种,556,554
同种,554,557
同种,557,554
同种,555,556
同种,556,555
同种,555,557
同种,557,555
同种,556,557
同种,557,556
同种,542,543
同种,543,542
同种,542,544
同种,544,542
同种,542,545
同种,545,542
同种,542,546
同种,546,542
同种,542,547
同种,547,542
同种,543,544
同种,544,543
同种,543,545
同种,545,543
同种,543,546
同种,546,543
同种,543,547
同种,547,543
同种,544,545
同种,545,544
同种,544,546
同种,546,544
同种,544,547
同种,547,544
同种,545,546
同种,546,545
同种,545,547
同种,547,545
同种,546,547
同种,547,546
同种,535,536
同种,536,535
同种,535,537
同种,537,535
同种,535,538
同种,538,535
同种,535,539
同种,539,535
同种,535,540
同种,540,535
同种,535,541
同种,541,535
同种,536,537
同种,537,536
同种,536,538
同种,538,536
同种,536,539
同种,539,536
同种,536,540
同种,540,536
同种,536,541
同种,541,536
同种,537,538
同种,538,537
同种,537,539
同种,539,537
同种,537,540
同种,540,537
同种,537,541
同种,541,537
同种,538,539
同种,539,538
同种,538,540
同种,540,538
同种,538,541
同种,541,538
同种,539,540
同种,540,539
同种,539,541
同种,541,539
同种,540,541
同种,541,540
同种,564,565
同种,565,564
同种,564,566
同种,566,564
同种,565,566
同种,566,565
同种,146,147
同种,147,146
同种,146,148
同种,148,146
同种,146,149
同种,149,146
同种,146,150
同种,150,146
同种,146,151
同种,151,146
同种,146,152
同种,152,146
同种,146,153
同种,153,146
同种,147,148
同种,148,147
同种,147,149
同种,149,147
同种,147,150
同种,150,147
同种,147,151
同种,151,147
同种,147,152
同种,152,147
同种,147,153
同种,153,147
同种,148,149
同种,149,148
同种,148,150
同种,150,148
同种,148,151
同种,151,148
同种,148,152
同种,152,148
同种,148,153
同种,153,148
同种,149,150
同种,150,149
同种,149,151
同种,151,149
同种,149,152
同种,152,149
同种,149,153
同种,153,149
同种,150,151
同种,151,150
同种,150,152
同种,152,150
同种,150,153
同种,153,150
同种,151,152
同种,152,151
同种,151,153
同种,153,151
同种,152,153
同种,153,152
同种,510,511
同种,511,510
同种,510,512
同种,512,510
同种,511,512
同种,512,511
同种,254,255
同种,255,254
同种,254,256
同种,256,254
同种,254,257
同种,257,254
同种,254,258
同种,258,254
同种,254,259
同种,259,254
同种,254,260
同种,260,254
同种,254,261
同种,261,254
同种,255,256
同种,256,255
同种,255,257
同种,257,255
同种,255,258
同种,258,255
同种,255,259
同种,259,255
同种,255,260
同种,260,255
同种,255,261
同种,261,255
同种,256,257
同种,257,256
同种,256,258
同种,258,256
同种,256,259
同种,259,256
同种,256,260
同种,260,256
同种,256,261
同种,261,256
同种,257,258
同种,258,257
同种,257,259
同种,259,257
同种,257,260
同种,260,257
同种,257,261
同种,261,257
同种,258,259
同种,259,258
同种,258,260
同种,260,258
同种,258,261
同种,261,258
同种,259,260
同种,260,259
同种,259,261
同种,261,259
同种,260,261
同种,261,260
同种,250,251
同种,251,250
同种,265,266
同种,266,265
同种,268,269
同种,269,268
